"id","profileName","text","date","title","rating","images","helpful","variant:colour"
"RIMD27WNS6C32","Mohd Akeel","Best","Reviewed in India on 4 September 2025","Best","4.0 out of 5 stars","","0","Bold Black"
"RUCMQVWQU4OGM","Patel Jayeshkumar bhayalabhai","Left isyu","Reviewed in India on 1 September 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"R2UXHVUPJ0YUN5","LENAS","Good 1 year batry life","Reviewed in India on 25 August 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"R3MTE07BZB1W72","Rahim","Good product","Reviewed in India on 24 August 2025","Honest review","4.0 out of 5 stars","","0","Bold Black"
"R1WQTL1Y52L6NE","Karthik","Required missing parts","Reviewed in India on 23 August 2025","Required missing parts","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61OQF55riML.jpg
https://m.media-amazon.com/images/I/61TmOpf5BCL.jpg","0","Bold Black"
"R23RNHH6O6MO3H","Sneha Sharma","Go for it","Reviewed in India on 24 August 2025","Affordable and convenient","4.0 out of 5 stars","","0","Bold Black"
"R3SFC3NDEQVCOT","PRIYABRATA PADHY","Very nice","Reviewed in India on 23 August 2025","Good product","4.0 out of 5 stars","","0","Bold Black"
"R2QMQIHL5CN7OH","Mohammed","Sound is not good","Reviewed in India on 21 August 2025","Bad sound","4.0 out of 5 stars","","0","Bold Black"
"R34CEA31QW1X6D","Salini S Kumar","Good one","Reviewed in India on 21 August 2025","Happy to purchase","4.0 out of 5 stars","","0","Bold Black"
"R1KM1KJTPSKLXO","Saruf Laskar","Good product","Reviewed in India on 13 August 2025","Good to purchase","4.0 out of 5 stars","","0","Bold Black"
"R8QBOMAL7ES4I","Rahul","Good","Reviewed in India on 13 August 2025","Good","4.0 out of 5 stars","","0","Black"
"R280TDWJZ7VDMS","Simranjit Singh Gill","Very Good","Reviewed in India on 13 August 2025","Value for money product","4.0 out of 5 stars","","0","Active White"
"R319XIOT8GAUKI","B gokul","Value for money ❣️","Reviewed in India on 11 August 2025","Good","4.0 out of 5 stars","","0","Teal"
"RKS9QZ81QIOT6","Yogendra Parmar","Nice product and","Reviewed in India on 12 August 2025","Nice product","4.0 out of 5 stars","","0","Bold Black"
"R338UD2LMIZ57G","Meghavath Nanak","Good product","Reviewed in India on 12 August 2025","Good product","4.0 out of 5 stars","","0","Active Black"
"R37GFR14THCOKW","Kundan wagh","Nice","Reviewed in India on 12 August 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RYN2CDGG1X6A5","Haquimuddin","This product is very good. Battery backup 48hour 👍","Reviewed in India on 6 August 2025","I would say that everyone should order from Amazon","4.0 out of 5 stars","","0","Bold Black"
"R3P4H8HZFAMGH5","Paruchuri Srinivaschowdary","Very good","Reviewed in India on 10 August 2025","So good","4.0 out of 5 stars","","0","Grey"
"RGAYED0UQ6YKO","Thirupathesh Chary","Experiencing the music through baot is best for till now , I suggest to go on for purchasing boat . Thank you.","Reviewed in India on 31 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"R2SIP6YPJU7U33","Kindle Customer","Awesome voice clarity & music, sound effects Super! Thanks Amazon","Reviewed in India on 2 August 2025","Very good","4.0 out of 5 stars","","0","Orange"
"R36EALQNP0SZX0","Deepak","Good","Reviewed in India on 7 August 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RSZ45U1ATEX31","Nisarg Rathod","I really loved the product but the reason of giving it 4 star is because it doesn't have noise cancellation. Overall the product it great.","Reviewed in India on 28 July 2025","No noise cancellation","4.0 out of 5 stars","","2","Bold Black"
"RDT9O4T0PMK1Y","Karan","very good for battery packing , i you can mange a little bit quality","Reviewed in India on 28 July 2025","battery","4.0 out of 5 stars","","0","Bold Black"
"R1XW3XFU5F3DEI","Amazon Customer","Good","Reviewed in India on 5 August 2025","Value for money","4.0 out of 5 stars","","0","Bold Black"
"RQQ77ANVO2KOT","WEAPON X 11","Box bulid was good","Reviewed in India on 4 August 2025","Good sound quality","4.0 out of 5 stars","","0","Bold Black"
"R3AR5IFTJFPDVT","Shubham kale","Sound Quality – A Game Changer!
""These earbuds are amazing! The sound quality is crystal clear with deep bass and sharp treble. Whether I’m listening to music or watching movies, the audio is immersive and rich. The noise cancellation is superb, blocking out even the most distracting sounds. I love how the sound is so balanced—it’s just the right mix of highs, mids, and lows. If you're serious about audio quality, these are the earbuds you need!""","Reviewed in India on 5 July 2025","Fantastic Product","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61cuQTLTRGL.jpg
https://m.media-amazon.com/images/I/71oOyqWrk1L.jpg","0","Black"
"R3SWTC078ZJFWS","Abdullah","Good product","Reviewed in India on 4 August 2025","Good product","4.0 out of 5 stars","","0","Active Black"
"R2LB2AL3LXTDI1","Subrata Bhadra","Very good.","Reviewed in India on 8 August 2025","Its worth work","4.0 out of 5 stars","","0","Grey"
"R3UJEHDUAANRTJ","Sreedas E V","Very good","Reviewed in India on 31 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"R2KO4W46S1BNN2","Anirban Pal","Built quality can be better…. ANC mode works okay like there is noticeable difference and sound quality is also good. Light weight so comfortable in ears","Reviewed in India on 18 July 2025","Overall good at this price point","4.0 out of 5 stars","","0","Black"
"R3TAT92EDCCHB2","Tushar Rathod","Nice product","Reviewed in India on 30 July 2025","Nice product","4.0 out of 5 stars","","0","Bold Black"
"R211M8XP2TVXIX","Farman saifi","Sound is good and battery backup very well","Reviewed in India on 26 July 2025","Earbuds","4.0 out of 5 stars","","0","Bold Black"
"R1DXUE1TTIT3M","Raghav","It's was nice and Bass also good","Reviewed in India on 26 July 2025","Good product","4.0 out of 5 stars","","0","Bold Black"
"R2VS9PYOQCK85M","Dev","Product design is good, easy to navigate songs, nice bass, and a good battery life. Only problem I faced is, I can’t use them during my workout.","Reviewed in India on 15 July 2025","Overview","4.0 out of 5 stars","","0","Bold Black"
"R2CCZYINZY7N58","Lucifer Morning Star","Not so much good... After using it for a month it's range starting to decrease as there is slightly glitch in the sound after getting distance of even 4-5 metre from our device and On the other hand, design is good for the aesthetic look and also comfort in the ears","Reviewed in India on 7 August 2025","Range","3.0 out of 5 stars","","0","Bold Black"
"R3G179YQX2DI4Z","Amazon Customer","The product is good!","Reviewed in India on 25 July 2025","Nice quality","4.0 out of 5 stars","","0","Bold Black"
"R32AA2GARRUYKG","bhadra","Good product and amazing working","Reviewed in India on 24 July 2025","Good working","4.0 out of 5 stars","","0","Bold Black"
"R3H7ER1VMSHNOV","RITESH","Good product","Reviewed in India on 25 July 2025","I like this product.","4.0 out of 5 stars","","0","Bold Black"
"R3HJWR0F7S8EL9","Amazon Customer","Best sound","Reviewed in India on 24 July 2025","Good","4.0 out of 5 stars","","0","Orange"
"R35TNU1F3L703I","Pooja Singh","Good product","Reviewed in India on 24 July 2025","Great purchase","4.0 out of 5 stars","","0","Bold Black"
"R27WS054UR2X3W","Ashwani maurya","Good","Reviewed in India on 24 July 2025","Budget friendly","4.0 out of 5 stars","","0","Bold Black"
"R1KG2TCCJT87UW","Chandrakant Mane","Good product.","Reviewed in India on 23 July 2025","Good product.","4.0 out of 5 stars","","0","Bold Black"
"RESRZ5S8PFUAI","Rohan Nangre","Good product
Good sound with noise cancellation","Reviewed in India on 19 July 2025","Nice","4.0 out of 5 stars","","0","Bold Black"
"R1ALXV0CVB6CMO","Anmol Sagar","Purchased in Mar 2023. Performed brilliant in span of 2 years period but now in July 2025, the right earpod is not charging anymore But left one is still doing good. Overall it's good product at this price.","Reviewed in India on 7 July 2025","Airdopes 141","4.0 out of 5 stars","","2","Bold Black"
"R2UKV0LWQ4UUXS","Abhash Kumar","Okok","Reviewed in India on 26 July 2025","Accha hai","4.0 out of 5 stars","","0","Bold Black"
"R2GLID6UMOPMIA","Selva","Good","Reviewed in India on 21 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RM0NHAHGK18L1","veeranjaneyulu","Why did you pick this product vs others?:
Good Item.","Reviewed in India on 15 July 2025","Worthy","4.0 out of 5 stars","","0","Bold Black"
"R2EXVBVS0JUT4I","Sreedevi Sreedevi","Sound automatically disconnected sometimes not proper and low bass system not expected thing otherwise good 👍🥲","Reviewed in India on 21 August 2025","Sound","3.0 out of 5 stars","","0","Bold Black"
"RW32GCF06OKNL","GANESH MOORTHY M","I have used this ear phone one year plus still it is good condition but the price was 1200 when I purchase it.","Reviewed in India on 7 July 2025","Very good product.","4.0 out of 5 stars","","0","Bold Black"
"R2H55UO3V5PC60","deb","Ok","Reviewed in India on 20 July 2025","Ok","4.0 out of 5 stars","","0","Grey"
"R3KCFF6O7XA38I","Nitesh thakur","Good","Reviewed in India on 19 July 2025","Best product","4.0 out of 5 stars","","0","Bold Black"
"R2579AAZ3W38Q0","Ishwar","Good","Reviewed in India on 19 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RNUBSD1JCZ7HE","Ritesh","Good","Reviewed in India on 19 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RUVSF2VV4P3O","Aswin krishna","Excellent product","Reviewed in India on 18 July 2025","Excellent product","4.0 out of 5 stars","","0","Black"
"RNH19NHB92TPH","Gana sri","Good","Reviewed in India on 19 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"R2WCFPL02EZ9WJ","Romit M.","Good one at this price price range.","Reviewed in India on 15 July 2025","Value for money","4.0 out of 5 stars","","0","Bold Black"
"R3LYZG70KGN1WA","Mr.Lee","It's good","Reviewed in India on 17 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RXV394TKWUSJZ","Afroz Ahmad","I’m a gamer who loves testing creative tools — real feedback from real use.","Reviewed in India on 8 July 2025","I’m a gamer who loves testing creative tools — real feedback from real use.","4.0 out of 5 stars","","0","Bold Black"
"R1QNCQ3QV83CIY","Abhiresh Ray","audio quality is great.","Reviewed in India on 15 July 2025","nice product","4.0 out of 5 stars","","0","Bold Black"
"R2AP6N20GFZ29D","Siddharth Tiwari","Sound quality is good but built quality is okk okk but in this budget product is good..👍","Reviewed in India on 9 July 2025","Best in this budget","4.0 out of 5 stars","","2","Bold Black"
"R2CZ4XYNDEPDBP","Kartik Sharma","Build Quality is good","Reviewed in India on 14 July 2025","Build Quality","4.0 out of 5 stars","","0","Bold Black"
"RII97P89T4WCM","Promoth","Good sound with proper bass while listening music, clear vocals.( music from youtube music videos and Spotify premium) not an noticable latency in movies as well as game ( PUBG,delta)
V5.4 helps in range and other benefits. Case,buds build quality is excellent, buds perfectly fits in ears, not that much atmosphere noise while in call to opposite person( in outdoor)

Worth for 1100 Rupees!","Reviewed in India on 18 June 2025","To understand the product","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61VEQLTCtHL.jpg
https://m.media-amazon.com/images/I/61iTcA+5mmL.jpg","0","Grey"
"R1A2IFXZV2MTMH","Akshay","Bass ide soo high vocal is not clear","Reviewed in India on 20 August 2025","Soo much of bass","3.0 out of 5 stars","","0","Bold Black"
"R1SG4GUH0EE54F","Sachin singh","Impressive ANC mode but battery backup not up to make comparisons to other airbud in this range","Reviewed in India on 8 July 2025","Impressive ANC mode","4.0 out of 5 stars","","0","Black"
"R1ZUXGQFZU8JY7","VINEET RAJPOOT","Good product but sound quality or acchi ho sakti the","Reviewed in India on 9 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"R3S9RI8XKNOBVF","Vighnesh shirishkar","Very nice quality","Reviewed in India on 15 July 2025","Sound Nice","4.0 out of 5 stars","","0","Bold Black"
"R3S505P5SN65TQ","Anju Shabin","Why did you pick this product vs others?:
Nice","Reviewed in India on 9 July 2025","Nice","4.0 out of 5 stars","","0","Green"
"R3OVFAGH8TNSLS","HKPATEL","design is good sound quality is also good but if we talk about battery life so battery life in 1 year is just say medium but after 1 year warranty it is goes to low and worst for battery colour is good and also comfort for 5-6 hour continuesly and charging ability in starting 1 year is best but after 1 year fulllly worst for me","Reviewed in India on 12 July 2025","Normal And just good but not for battery","3.0 out of 5 stars","","0","Bold Black"
"R16H8GHXLBXIRE","SHUBHAM RATHOD","Very nice po product","Reviewed in India on 12 July 2025","Hii","4.0 out of 5 stars","","0","Bold Black"
"R26UGOE3F30ZNV","Rushi","good one","Reviewed in India on 22 August 2025","best","3.0 out of 5 stars","","0","Bold Black"
"R37CV4U0ANR4GN","Placeholder","Sound quality 4star
Bass quality 4 star
Bild quality 4 star
Battery backup 4star
Valu for manny this product","Reviewed in India on 15 July 2025","Best Sound quality","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71CJFs55rKL.jpg
https://m.media-amazon.com/images/I/71bl2uCMlLL.jpg","0","Bold Black"
"R1TAI2YPATZT3J","Herbha Devang","Boat always broke .. thode time Mai kharab ho hii jayega","Reviewed in India on 9 July 2025","Kharab ho jata hai","4.0 out of 5 stars","","0","Bold Black"
"R57WV0S4HUILR","MD Taslim","on nahi ho raha hai","Reviewed in India on 31 August 2025","Nahi chal Raha hai","3.0 out of 5 stars","https://m.media-amazon.com/images/I/61-8rrYpOgL.jpg","0","Bold Black"
"R1N3YMPLUHE0QZ","Dinesh K.","Why did you pick this product vs others?:
I am satisfied after purchae","Reviewed in India on 6 July 2025","Very good quality,value for money","4.0 out of 5 stars","","0","Bold Black"
"R1BWF6O0VUBRU6","Tushar patle","Its very good airdopes","Reviewed in India on 11 July 2025","Boat","4.0 out of 5 stars","","0","Bold Black"
"R17GY28PDWXB9D","Himanshi kirar","Totally worth it 😉...the noice is so clear, light in weight, good quality, no need to charge again and again.. it's long lasting ..work for a long time❣️","Reviewed in India on 2 July 2025","Valuable 👍🏻","4.0 out of 5 stars","https://m.media-amazon.com/images/I/615TZ+SPkbL.jpg","2","Bold Black"
"RUBRXNV9F9LC0","PERUMALRAJA","nice","Reviewed in India on 21 August 2025","good","3.0 out of 5 stars","","0","Bold Black"
"RNJ1PPGMR18XK","Deepak kumar suman","Good battery backup 💯
The sound quality is very good💯
Colour is very good 💯
value for money 💰
Fast charging speed ⏫
I love it ❤️","Reviewed in India on 2 July 2025","Good battery backup","4.0 out of 5 stars","","0","Green"
"RHCT0C60DVWA6","Ziyad Vohra","Nice airdopes, and also comes with a year warranty (which I didn't know at that time )","Reviewed in India on 3 July 2025","👍🏿","4.0 out of 5 stars","","0","Bold Black"
"R30PMBE64EGQQH","Adarsh Yadav","This product is amazing 😍","Reviewed in India on 8 July 2025","Calling experience","4.0 out of 5 stars","","0","Black"
"RQRZMMO7XOWE9","Sam Salunke","Good AirDopes for Calls.
Not for Music and Podcasts.","Reviewed in India on 2 July 2025","Good For Calling, No Music !","4.0 out of 5 stars","","0","Bold Black"
"R1CFMTN9ZLYAQF","KSat","For less than 1k rupees, it sounds really nice. You get what you pay for, and this punches above it's weight. I primarily use it to listen to audiobooks and podcasts so I am happy with it.","Reviewed in India on 13 June 2025","Excellent for the price","4.0 out of 5 stars","","0","Bold Black"
"R2RZ0TMPPVSIQF","ASHISH SULE","This is also good Wireless headphones & suggest to all gadget lovers.
Thanks you","Reviewed in India on 1 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RS6RTSXD27YNH","Praful Kadam","This product is nice","Reviewed in India on 3 July 2025","Nice","4.0 out of 5 stars","","0","Bold Black"
"R1DWLNMOF2D3CA","CHARAN","Good","Reviewed in India on 10 July 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"RTKEZP0Y3KYHP","Kaushki","Best airdopes in this price range.","Reviewed in India on 24 June 2025","Amazing","4.0 out of 5 stars","","0","Bold Black"
"RZ7OW13FIKM99","seema bunker","Very nice","Reviewed in India on 4 July 2025","Very nice","4.0 out of 5 stars","","0","Bold Black"
"R67QV4FGJB9HV","RAHUL TIWARI","Why did you pick this product vs others?:
Best sound quality","Reviewed in India on 26 June 2025","Good","4.0 out of 5 stars","","0","Bold Black"
"R2UK9DUT4X04C2","yogesh Sawant","Very Good Under budget 799, No Heavy bass Only for music. Never so Good battery Backup. Connect fast for 1Mobile no multi connection. Up down both angle fit to my Ear, finishing not very smooth Plastic material but that under price good. 1saal bhi jaye to badhiya hai 1mhine me jaye to piasa barbad. Wait for 1yr","Reviewed in India on 20 June 2025","Good budget ear buds No Xqus also Not so good","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61ATK5lnTiL.jpg
https://m.media-amazon.com/images/I/61NSXunIGqL.jpg
https://m.media-amazon.com/images/I/61yUo58LbyL.jpg
https://m.media-amazon.com/images/I/71q+2mlDu6L.jpg
https://m.media-amazon.com/images/I/71q+2mlDu6L.jpg","0","Bold Black"
"R9A8S6C99J4KH","Laxman Singh Ls","गलत उत्पाद भेजा गया हैं। कृपया इसे वापस ले
। नहीं तो जिला उपभोक्ता मंच पर शिकायत करूंगा।
धन्यवाद","Reviewed in India on 4 September 2025","गलत उत्पाद भेजा गया ।","1.0 out of 5 stars","","0","Bold Black"
"R39WYBFT13WVJP","Sham l.","Very good","Reviewed in India on 4 September 2025","Very good","5.0 out of 5 stars","","0","Bold Black"
"R1KBCDKGYV5Y5Q","noorul hasan","Pathetic Product","Reviewed in India on 4 September 2025","Used Product delivered bad quality of product","1.0 out of 5 stars","https://m.media-amazon.com/images/I/61+eFzT3yZL.jpg
https://m.media-amazon.com/images/I/614pWWe2VEL.jpg","0","Active Black"
"R2SUKA4SWTOIIL","Sapna kushwaha","Not working properly","Reviewed in India on 4 September 2025","Not working","1.0 out of 5 stars","","0","Bold Black"
"R1M8OG7PI22DJM","Siddharth ghadge","To much bass but impressive","Reviewed in India on 3 September 2025","Too much bass","3.0 out of 5 stars","","0","Active Black"
"R3FG0ZEO3NAO55","Kalyanbabu","Not good","Reviewed in India on 3 September 2025","Bad","1.0 out of 5 stars","","0","Bold Black"
"R16P13H5UO64S2","Jittaboina sandhya","Very nice sound we using since 1yr nice","Reviewed in India on 3 September 2025","Good","5.0 out of 5 stars","","0","Bold Black"
"R2QCTBYMZH8PX9","Ramesh Jakhar","Good sound quality.","Reviewed in India on 3 September 2025","Sound","5.0 out of 5 stars","","0","Bold Black"
"R3R6QPRPRCC2WK","Good product 👍","Superb","Reviewed in India on 3 September 2025","Nice","5.0 out of 5 stars","","0","Bold Black"
"R38UR1S3J2FFUV","9700017576","Battery backup issue it’s not working more then 2hr issue","Reviewed in India on 2 September 2025","You’re highlighting 40 hours is not working more than two hours","1.0 out of 5 stars","","0","Active Black"
"R1WRGP6EX25SAC","Rakesh kumar","Kam nahi kar rahi h call par","Reviewed in India on 2 September 2025","Kam nahi kar rahi h","1.0 out of 5 stars","https://m.media-amazon.com/images/I/71kO60gtNwL.jpg","0","Active White"
"RTLC0PNTMZAOQ","Sachin","Don’t buy . Right earbud does not work . Does not work after few days .","Reviewed in India on 2 September 2025","Don’t buy . Right earbud does not work . Does not work after few days .","1.0 out of 5 stars","","0","Bold Black"
"R3P4DVJUIMZH9W","PAVAN RAO","Good sound quality. Connects easily. Convenient to use.","Reviewed in India on 2 September 2025","Excellent","5.0 out of 5 stars","","0","Bold Black"
"R18X1BZI0SI1CW","Khalander Sharief","Worst product ever I purchased. I've been very disappointed with these earphones. The voice quality is consistently breaking up, making it difficult to listen to music or take calls. Even more frustrating, the right earbud frequently stops working entirely, which ruins the experience. I have to constantly try to reconnect them, and it's simply not reliable.

Please avoid 😠","Reviewed in India on 2 September 2025","Poor quality","1.0 out of 5 stars","","0","Bold Black"
"RT1TN04F9V5RK","Ramabhadran","Useless product","Reviewed in India on 1 September 2025","Dont buy this","1.0 out of 5 stars","","0","Black"
"RJDR19HO4F805","Soumyadeep Chatterjee","Good product","Reviewed in India on 1 September 2025","Good Fit in ear lobes","5.0 out of 5 stars","","0","Bold Black"
"R39QZ9TJK2CRF8","Naveen","Just buy it.","Reviewed in India on 1 September 2025","Quality 💯","5.0 out of 5 stars","","0","Active Black"
"R3PRZUV1B1WGLT","Yogesh Banwade","Initialy battery backup was good but, Battery discharge tends to occur more frequently after one year of use..Price wise good...","Reviewed in India on 1 September 2025","Low battery backup","2.0 out of 5 stars","","0","Bold Black"
"R18HXEG21JPVBZ","Rajesh Sethia","Poor item","Reviewed in India on 1 September 2025","Can’t hear voice","1.0 out of 5 stars","https://m.media-amazon.com/images/I/81icTfAkp5L.jpg","0","Bold Black"
"RG8HXM6XEKUA9","Jyoti","Thanku","Reviewed in India on 1 September 2025","Great","5.0 out of 5 stars","","0","Bold Black"
"R1JJSJNH3NMFZ7","Ajith Aj","Buds charging time very poor🤬🤬🤬","Reviewed in India on 31 August 2025","Buds","1.0 out of 5 stars","","0","Black"
"R386HWYLXPYC8B","Prashanth k","Nice","Reviewed in India on 31 August 2025","Nice product","5.0 out of 5 stars","","0","Bold Black"
"R3EF4ZNV4ZFOJG","Nagesh VH","Worst","Reviewed in India on 31 August 2025","Not clearly charging","1.0 out of 5 stars","","0","Bold Black"
"R19E4MH4XQ0X5D","abhishek y","Very nice looking buds. Loved the black texture.
Title is because I lost one earplug within days of buying it. Ordered another brand afterwards.
But go for it. She will not turn you down..lol
1. Signature loud bass Boat sound
2. Beast mode
3. Premium quality
4. Prefect Matte black","Reviewed in India on 30 August 2025","It's like a hot ex; you won't get over it easily","5.0 out of 5 stars","","0","Bold Black"
"R25CKK5ZS2P1JK","Kanhaiya Kumar","Good","Reviewed in India on 30 August 2025","Good","5.0 out of 5 stars","","0","Bold Black"
"R3A306ORJZ9WI","Sudhanshu Kishawaha","Battery kharab hai","Reviewed in India on 30 August 2025","Battery","5.0 out of 5 stars","","0","Bold Black"
"RH93MLPV98O11","Koti","After using one year I am sharing review:
Don't buy this airdopes. after long usage i came to know that it's charge draining fastly .
Airdopes are connecting to phone automatically even not opening lid of box.
Sound quality good.","Reviewed in India on 30 August 2025","Connecting automatically even without opening lid","2.0 out of 5 stars","","0","Bold Black"
